1;107726.62845280001;12086;4.530563622400001
0.9;107678.31600060003;12758;4.662241084600001
0.8;107591.8243742;13343;4.7658373532
0.7;107684.9181842;14073;4.5446185038
0.6;107619.33469179999;15368;4.8811629536
0.5;107578.5924044;16984;5.1773982914
0.4;107721.7236116;19474;4.9744356193999995
0.3;107573.9466244;23566;5.512364441600001
0.2;107697.876342;31343;6.1900407652
0.1;107640.2703404;55266;8.535072250999999
0.09;107687.5855198;60377;8.4221937264
0.08;107643.59575000001;66984;9.269982978
0.07;107666.96737619999;75819;10.1164863484
0.06;107722.9156058;87138;11.3358106088
0.05;107607.2211252;103259;13.1689812862
0.04;107706.3559154;127280;15.3902205264
0.03;107595.97939360002;166035;21.402678799
0.02;107599.7188916;244903;31.746508088600002
0.01;107224.612381;473176;96.0610873896
0.009;106983.70109859998;520668;111.698355663
0.008;106651.53602219999;579569;138.1187235378
0.007;106452.9953674;654101;176.9942387184
0.006;105976.1568966;747995;235.9763266884
0.005;105234.41563840001;874167;347.7849719062
0.004;103618.10876120001;1050118;581.1995443316
0.003;100284.53680119998;1314647;1121.583633126
